Logging Data Com 9
2024-05-04_04-35-182024-05-04 04:35:19,Neo6M GPS module test code
2024-05-04 04:37:52,Battery Voltage = 3.30V
2024-05-04 04:37:52,No Connection
2024-05-04 04:37:52,Battery Voltage = 3.30V
2024-05-04 04:37:53,No Connection
2024-05-04 04:37:53,Battery Voltage = 3.33V
2024-05-04 04:37:53,No Connection
2024-05-04 04:37:53,Battery Voltage = 3.30V
2024-05-04 04:37:54,No Connection
2024-05-04 04:37:54,Battery Voltage = 3.30V
2024-05-04 04:37:54,No Connection
2024-05-04 04:37:54,Battery Voltage = 3.30V
2024-05-04 04:37:55,No Connection
2024-05-04 04:37:55,Battery Voltage = 3.30V
2024-05-04 04:37:55,No Connection
2024-05-04 04:37:55,Battery Voltage = 3.29V
2024-05-04 04:37:56,No Connection
2024-05-04 04:37:56,Battery Voltage = 3.30V
2024-05-04 04:37:56,No Connection
2024-05-04 04:37:56,Battery Voltage = 3.32V
2024-05-04 04:37:57,No Connection
2024-05-04 04:37:57,Battery Voltage = 3.31V
2024-05-04 04:37:57,No Connection
2024-05-04 04:37:57,Battery Voltage = 3.30V
2024-05-04 04:37:57,No Connection
2024-05-04 04:37:57,Battery Voltage = 3.30V
2024-05-04 04:37:58,No Connection
2024-05-04 04:37:58,Battery Voltage = 3.29V
2024-05-04 04:37:58,No Connection
2024-05-04 04:37:58,Battery Voltage = 3.30V
2024-05-04 04:37:59,oltage = 3.26V
2024-05-04 04:37:59,No Connection
2024-05-04 04:37:59,Battery Voltage = 3.30V
